Name,Website,Status,Program Category,Primary Location (City),Primary Location (Country),Description (SOSV),FA Code,Pre-Embed
Earnest Agriculture,earnest.ag,Written Down,IndieBio,Rantoul,United States,"To feed a global population of 9.7 billion people by 2050, farmers need to produce 50% more calories than they do today. However, large-scale farms rely on synthetic fertilizers, which degrade their soil and release more CO2 emissions than global aviation and shipping combined.  

Earnest Agriculture has designed a microbial consortium that improves nutrient use, plant resilience, a disease protection while improving soil health. Applied as a seed coating, it’s a triple whammy that can boost yields by 6%, reduce synthetic chemical use, and make crops more resilient to climate change. Earnest sources its patented microbes from natural prairies and uses a machine learning algorithm to formulate a microbe consortium that works in diverse climates and soil conditions. By focusing on the $570 billion livestock feed market first and crops for human consumption second, Earnest will minimize regulatory friction and get to market faster. 

The grandchildren of farmers, co-founders Gabe Price, PhD, and Eddy Mejia launched Earnest in 2019. They currently have a strong partnership with AgLaunch, Dairy Farmers of America, and the University of Illinois. A win for farmers, soils, and our climate, Earnest probiotics will play an important role in global food security.",IBNY072302,"Earnest Agriculture is based in Rantoul, United States. Description: To feed a global population of 9.7 billion people by 2050, farmers need to produce 50% more calories than they do today. However, large-scale farms rely on synthetic fertilizers, which degrade their soil and release more CO2 emissions than global aviation and shipping combined.  

Earnest Agriculture has designed a microbial consortium that improves nutrient use, plant resilience, a disease protection while improving soil health. Applied as a seed coating, it’s a triple whammy that can boost yields by 6%, reduce synthetic chemical use, and make crops more resilient to climate change. Earnest sources its patented microbes from natural prairies and uses a machine learning algorithm to formulate a microbe consortium that works in diverse climates and soil conditions. By focusing on the $570 billion livestock feed market first and crops for human consumption second, Earnest will minimize regulatory friction and get to market faster. 

The grandchildren of farmers, co-founders Gabe Price, PhD, and Eddy Mejia launched Earnest in 2019. They currently have a strong partnership with AgLaunch, Dairy Farmers of America, and the University of Illinois. A win for farmers, soils, and our climate, Earnest probiotics will play an important role in global food security."
Carbon Bridge,carbonbridge.io,Written Down,IndieBio,Newark,United States,"CarbonBridge (an ARPAe awardee) pivoted to biotech in 2023, and converts methane to methanol, using microbes in a proprietary bioreactor with a direct-gas system for mass transfer without bubbles, pressure, agitators, etc.  This delivers the lowest carbon-intensity methanol at the lowest cost.",IBNY072304,"Carbon Bridge is based in Newark, United States. Description: CarbonBridge (an ARPAe awardee) pivoted to biotech in 2023, and converts methane to methanol, using microbes in a proprietary bioreactor with a direct-gas system for mass transfer without bubbles, pressure, agitators, etc.  This delivers the lowest carbon-intensity methanol at the lowest cost."
Afynia,aimalaboratories.com,Operating,IndieBio,Hamilton,Canada,"Globally, one in ten women will suffer from endometriosis, a painful and debilitating gynecological condition. On average, women don’t get a proper diagnosis for five to twelve years after the onset of symptoms because, until now, the only reliable way to do so was via laparoscopic surgery that can cost over $20,000 and require three months of recovery. Moreover, endometriosis symptoms overlap with 25 other conditions, meaning undiagnosed women face years of costly trial-and-error treatment. 

Afynia has created the first and only patented blood test for diagnosing endometriosis early. It returns a result in days, not years, and will be offered through clinics and home collection kits beginning in 2024. Based on decades of research by co-founders Dr. Lauren Foster, PhD, and Dr. Jocelyn Wessels, PhD, former academics at McMaster University in Ontario, Canada, the endometriosis test is just the beginning. Afynia is building a digital women’s health platform that will provide diagnostics, virtual care, and prescription deliveries for endometriosis and other conditions. 

For too long, the world has normalized and undertreated chronic pelvic pain. With Afynia, women have the opportunity to become full-fledged partners in their own healthcare.",IBNY072305,"Afynia is based in Hamilton, Canada. Description: Globally, one in ten women will suffer from endometriosis, a painful and debilitating gynecological condition. On average, women don’t get a proper diagnosis for five to twelve years after the onset of symptoms because, until now, the only reliable way to do so was via laparoscopic surgery that can cost over $20,000 and require three months of recovery. Moreover, endometriosis symptoms overlap with 25 other conditions, meaning undiagnosed women face years of costly trial-and-error treatment. 

Afynia has created the first and only patented blood test for diagnosing endometriosis early. It returns a result in days, not years, and will be offered through clinics and home collection kits beginning in 2024. Based on decades of research by co-founders Dr. Lauren Foster, PhD, and Dr. Jocelyn Wessels, PhD, former academics at McMaster University in Ontario, Canada, the endometriosis test is just the beginning. Afynia is building a digital women’s health platform that will provide diagnostics, virtual care, and prescription deliveries for endometriosis and other conditions. 

For too long, the world has normalized and undertreated chronic pelvic pain. With Afynia, women have the opportunity to become full-fledged partners in their own healthcare."
FREZENT Biological Solutions,frezent.com,Operating,IndieBio,New York City,United States,"Over 32 million cancer survivors face the risk of recurrence. Patients are told they are “cancer-free” only to discover that a few undetectable cancer cells survived initial treatment and have begun to multiply.  

FREZENT is developing a novel class of bispecific antibodies for targeting dormant cancer cells that have survived chemotherapy and may cause recurrence. Their approach is to block metabolism in dormant cancer cells to prevent their reactivation and survival. The technology is based on the academic research of founder Dr. Natasha Shtraizent. She started the company when her mother was diagnosed with recurrent cancer and was joined by her co-founder Lina Freage-Kahn, just months after Lina lost her uncle to lymphoma. 

The team is currently focused on monoclonal antibody discovery and proof-of-concept studies and is rapidly moving towards preclinical development in cancer animal models.  FREZENT is backed by a strong advisory board of leaders in oncology and pharmacological drug development. Together, they are creating a future where long-lasting remission is the reality for all cancer survivors.",IBNY072303,"FREZENT Biological Solutions is based in New York City, United States. Description: Over 32 million cancer survivors face the risk of recurrence. Patients are told they are “cancer-free” only to discover that a few undetectable cancer cells survived initial treatment and have begun to multiply.  

FREZENT is developing a novel class of bispecific antibodies for targeting dormant cancer cells that have survived chemotherapy and may cause recurrence. Their approach is to block metabolism in dormant cancer cells to prevent their reactivation and survival. The technology is based on the academic research of founder Dr. Natasha Shtraizent. She started the company when her mother was diagnosed with recurrent cancer and was joined by her co-founder Lina Freage-Kahn, just months after Lina lost her uncle to lymphoma. 

The team is currently focused on monoclonal antibody discovery and proof-of-concept studies and is rapidly moving towards preclinical development in cancer animal models.  FREZENT is backed by a strong advisory board of leaders in oncology and pharmacological drug development. Together, they are creating a future where long-lasting remission is the reality for all cancer survivors."
Xias Bio Limited,xiasbio.com,Operating,IndieBio,Glasgow,United Kingdom,"The $500 billion personal care and cosmetics industry is alarmingly reliant on raw materials from livestock. The three most important proteins in skincare and haircare products—collagen, keratin, and elastin—typically come from bovine hides, chicken feathers, and meat processing byproducts, respectively. Thus, cosmetics contribute to greenhouse gas emissions, water pollution, and deforestation. With two-thirds of consumers demanding cleaner beauty ingredients, the industry faces immense pressure to replace animal proteins with sustainable, cost-competitive alternatives.

Xias Bio has developed the world’s first molecular platform for creating multi-functional, animal-free proteins. Each one can do the work of three or more animal proteins. Xias licenses its proteins for manufacture to suppliers of global cosmetics, making industry adoption quick and easy. The Xias platform already has 2.6 million different proteins in its library, all of which can be made using the same modular, Lego-like base molecule and fermentation process. 

Founded in Glasgow, Scotland by Dr. David Harvey, Dr. Faadil Fawzy, and Alister Minty, Xias brings over  20 years combined experience in protein design. The company has licensed its multi-function proteins to major leaders in the cosmetics industry. Though currently focused on cosmetics, Xias aims to replace animal proteins throughout the bioeconomy, from pharmaceuticals and therapeutics to AgTech and the food industry.",IBNY072301,"Xias Bio Limited is based in Glasgow, United Kingdom. Description: The $500 billion personal care and cosmetics industry is alarmingly reliant on raw materials from livestock. The three most important proteins in skincare and haircare products—collagen, keratin, and elastin—typically come from bovine hides, chicken feathers, and meat processing byproducts, respectively. Thus, cosmetics contribute to greenhouse gas emissions, water pollution, and deforestation. With two-thirds of consumers demanding cleaner beauty ingredients, the industry faces immense pressure to replace animal proteins with sustainable, cost-competitive alternatives.

Xias Bio has developed the world’s first molecular platform for creating multi-functional, animal-free proteins. Each one can do the work of three or more animal proteins. Xias licenses its proteins for manufacture to suppliers of global cosmetics, making industry adoption quick and easy. The Xias platform already has 2.6 million different proteins in its library, all of which can be made using the same modular, Lego-like base molecule and fermentation process. 

Founded in Glasgow, Scotland by Dr. David Harvey, Dr. Faadil Fawzy, and Alister Minty, Xias brings over  20 years combined experience in protein design. The company has licensed its multi-function proteins to major leaders in the cosmetics industry. Though currently focused on cosmetics, Xias aims to replace animal proteins throughout the bioeconomy, from pharmaceuticals and therapeutics to AgTech and the food industry."
Roofus,roofus.it,Operating,Orbit Startups,Angera,Italy,Online pet care marketplace that connects pet parents with pet sitters and dog walkers,ORB2316,"Roofus is based in Angera, Italy. Description: Online pet care marketplace that connects pet parents with pet sitters and dog walkers"
Pyxis,pyxis.money,Operating,Orbit Startups,,Kenya,"Pyxis uses its API technology, to securely integrate with payment institutions across Africa and Asia, allowing for direct payments with security, affordability, and reduced currency risk.",ORB2315,"Pyxis is based in , Kenya. Description: Pyxis uses its API technology, to securely integrate with payment institutions across Africa and Asia, allowing for direct payments with security, affordability, and reduced currency risk."
Princeton Critical Minerals,princetoncriticalminerals.com,Operating,HAX,Newark,United States,"Originating from Princeton University, Princeton Critical Materials has developed a pioneering approach to lithium extraction, addressing the critical demand surge anticipated as the world shifts towards electrification and electric vehicles. With lithium demand projected to double between 2025 and 2030, Princeton’s Critical Materials technologies emerge as essential solutions. Their initial product line enhances productivity in existing lithium evaporation ponds by 50% without necessitating new capital expenditures, aiming for full commercial deployment by the end of 2024. Additionally, PCM has developed a method to extract lithium from sources previously considered uneconomical, such as wastewater from fracking operations. This innovative technique allows for the efficient recovery of lithium salts, including those within the US, transforming low-value waste streams into valuable resources. PCM's efforts in optimizing lithium extraction processes underscore its role in advancing the sustainable production of a key resource for the future of energy and transportation.",HAX230907,"Princeton Critical Minerals is based in Newark, United States. Description: Originating from Princeton University, Princeton Critical Materials has developed a pioneering approach to lithium extraction, addressing the critical demand surge anticipated as the world shifts towards electrification and electric vehicles. With lithium demand projected to double between 2025 and 2030, Princeton’s Critical Materials technologies emerge as essential solutions. Their initial product line enhances productivity in existing lithium evaporation ponds by 50% without necessitating new capital expenditures, aiming for full commercial deployment by the end of 2024. Additionally, PCM has developed a method to extract lithium from sources previously considered uneconomical, such as wastewater from fracking operations. This innovative technique allows for the efficient recovery of lithium salts, including those within the US, transforming low-value waste streams into valuable resources. PCM's efforts in optimizing lithium extraction processes underscore its role in advancing the sustainable production of a key resource for the future of energy and transportation."
Cool Amps,coolamps.tech,Operating,HAX,New Haven,United States,"The US is facing a frightening shortfall in the critical minerals needed for energy storage & batteries to enable the shift to electrification. There are limitations in our ability to mine these locally; however we can find these critical minerals in post-manufacturing, off spec batteries, as well as in growing reserves of post-use, spent batteries from EV's and other uses. But current approaches to battery recycling face a number of challenges, including complexity, cost, and energy usage to carry out reverse logistics and centralize the supply of spent materials, as well as energy intensity of the recycling processes themselves, which use high temperatures (pyrometallurgy) or toxic chemicals (hydrometallurgy) in order to separate the key ingredients within a battery back to their fundamental metal or metal salt forms, only to then utilize further energy to re-create usable cathode-active-materials. These factors combine to mean that battery recycling processes to date have struggled to chart a path to profitability, as battery acquisition & transport represent 30% of recycling costs. All of this means that we currently have sorely inadequate recovery of e-waste, with only 17% of e-waste being recovered, leaving $57 billion in unrecovered raw materials. Cool Amps has developed technology to completely disrupt this landscape, with a process that delivers greatly enhanced sustainability and profitability. This low capex process enables distributed and localized deployment on-site alongside gigafactories to capture and regenerate any off-spec product, as well as at e-waste handlers to directly recycle spent batteries into usable cathode active materials, while at the same time recovering graphite and copper materials for re-use. To do this Cool Amps has developed an electrochemical, in-situ process that utilizes benign solvents at ambient conditions to directly extract the valuable materials, without taking them down to their component materials and having to rebuild them into usable inputs for the battery industry.",HAX230905,"Cool Amps is based in New Haven, United States. Description: The US is facing a frightening shortfall in the critical minerals needed for energy storage & batteries to enable the shift to electrification. There are limitations in our ability to mine these locally; however we can find these critical minerals in post-manufacturing, off spec batteries, as well as in growing reserves of post-use, spent batteries from EV's and other uses. But current approaches to battery recycling face a number of challenges, including complexity, cost, and energy usage to carry out reverse logistics and centralize the supply of spent materials, as well as energy intensity of the recycling processes themselves, which use high temperatures (pyrometallurgy) or toxic chemicals (hydrometallurgy) in order to separate the key ingredients within a battery back to their fundamental metal or metal salt forms, only to then utilize further energy to re-create usable cathode-active-materials. These factors combine to mean that battery recycling processes to date have struggled to chart a path to profitability, as battery acquisition & transport represent 30% of recycling costs. All of this means that we currently have sorely inadequate recovery of e-waste, with only 17% of e-waste being recovered, leaving $57 billion in unrecovered raw materials. Cool Amps has developed technology to completely disrupt this landscape, with a process that delivers greatly enhanced sustainability and profitability. This low capex process enables distributed and localized deployment on-site alongside gigafactories to capture and regenerate any off-spec product, as well as at e-waste handlers to directly recycle spent batteries into usable cathode active materials, while at the same time recovering graphite and copper materials for re-use. To do this Cool Amps has developed an electrochemical, in-situ process that utilizes benign solvents at ambient conditions to directly extract the valuable materials, without taking them down to their component materials and having to rebuild them into usable inputs for the battery industry."
AuraSense,aurasense.ai,Operating,HAX,Chicago,United States,"Currently, neurological conditions are diagnosed using very subjective criteria, creating multiple problems, including inaccurate, unhelpful diagnoses. In addition, getting meaningful feedback requires in-person consultation with specialists, which severely limits access to care for those in more remote and underserved areas. Aurasense quantifies neurological conditions by creating point-of-care devices to capture and analyze motor function and provide data-enabled & digitized treatment feedback, across a range of neurological conditions. Their advanced tool will enable democratized and improved diagnosis and care. Their first application will be to utilize the tool in clinical trial enablement, to accelerate and improve validation of treatment candidates for neurological diseases. This will address the existing challenge that many promising drug candidates end up failing at later stages of clinical trials, in large part due to subjective and uncorrelated performance data.",HAX230903,"AuraSense is based in Chicago, United States. Description: Currently, neurological conditions are diagnosed using very subjective criteria, creating multiple problems, including inaccurate, unhelpful diagnoses. In addition, getting meaningful feedback requires in-person consultation with specialists, which severely limits access to care for those in more remote and underserved areas. Aurasense quantifies neurological conditions by creating point-of-care devices to capture and analyze motor function and provide data-enabled & digitized treatment feedback, across a range of neurological conditions. Their advanced tool will enable democratized and improved diagnosis and care. Their first application will be to utilize the tool in clinical trial enablement, to accelerate and improve validation of treatment candidates for neurological diseases. This will address the existing challenge that many promising drug candidates end up failing at later stages of clinical trials, in large part due to subjective and uncorrelated performance data."
OLI Technologies,oli.inc,Operating,HAX,North Brunswick,United States,"There are nearly 1 million end-stage kidney patients in the US. And while going to the hospital or center for dialysis is an inconvenience and major disruption to their daily lives, only 1 in 50 patients currently opt for in-home dialysis. This is because current options for in-home dialysis are unpleasant and impractical to use. They are large and obtrusive, they force patients to be stuck in their homes for extended periods, and they are very complex to operate. Oli is building a better future for these patients, by creating compact, portable, and intuitively operated dialysis systems, so that these patients can get their lives back again. Oli's core technology has been developed around a novel sorbent that enables this huge step forward in miniaturization and simplified operation. They will begin initial deployment of their MVP in clinic, in order to accelerate regulatory approval for patient use in-home or on-the-go.",HAX230904,"OLI Technologies is based in North Brunswick, United States. Description: There are nearly 1 million end-stage kidney patients in the US. And while going to the hospital or center for dialysis is an inconvenience and major disruption to their daily lives, only 1 in 50 patients currently opt for in-home dialysis. This is because current options for in-home dialysis are unpleasant and impractical to use. They are large and obtrusive, they force patients to be stuck in their homes for extended periods, and they are very complex to operate. Oli is building a better future for these patients, by creating compact, portable, and intuitively operated dialysis systems, so that these patients can get their lives back again. Oli's core technology has been developed around a novel sorbent that enables this huge step forward in miniaturization and simplified operation. They will begin initial deployment of their MVP in clinic, in order to accelerate regulatory approval for patient use in-home or on-the-go."
BryoSphere Biotechnologies,bryosphere.ca,Operating,IndieBio,Vancouver,Canada,"BryoSphere Biotechnologies uses moss plants and biotechnology techniques to synthesize rare, plant-derived specialty compounds. By harnessing the genetic information of a variety of plants, BryoSphere achieves the production of rare compounds with significantly higher yields compared to those found in their natural counterparts, thereby enhancing accessibility. Currently, BryoSphere is dedicated to the development of two key products: one for addressing skin hyperpigmentation in topical treatments, and another as an anti-cancer drug.",IBSF152303,"BryoSphere Biotechnologies is based in Vancouver, Canada. Description: BryoSphere Biotechnologies uses moss plants and biotechnology techniques to synthesize rare, plant-derived specialty compounds. By harnessing the genetic information of a variety of plants, BryoSphere achieves the production of rare compounds with significantly higher yields compared to those found in their natural counterparts, thereby enhancing accessibility. Currently, BryoSphere is dedicated to the development of two key products: one for addressing skin hyperpigmentation in topical treatments, and another as an anti-cancer drug."
SpiralWave,spiralwave.io,Operating,IndieBio,San Francisco,United States,"The carbon capture and utilization sector relies on a mishmash of expensive membranes, chemicals, catalysts, and electrolytes, across many steps. Can't we just do this with electronics? Spiralwave is not just the first company in the world to demonstrate the production of liquid fuel from air in a single step, but they do it just with a small number of steel parts, electrical components, and chips. This makes it easier to manufacture, lowers electricity usage, and inherently scalable.",IBSF152302,"SpiralWave is based in San Francisco, United States. Description: The carbon capture and utilization sector relies on a mishmash of expensive membranes, chemicals, catalysts, and electrolytes, across many steps. Can't we just do this with electronics? Spiralwave is not just the first company in the world to demonstrate the production of liquid fuel from air in a single step, but they do it just with a small number of steel parts, electrical components, and chips. This makes it easier to manufacture, lowers electricity usage, and inherently scalable."
Biomr,biomr.io,Written Off,HAX,London,United Kingdom,"We make water-proof and oil-proof coatings from renewable organic sources, free from forever chemicals (PFAS) and free from synthetic plastics (polyurethanes).

We upcycle agricultural waste to valuable textile finishes. Our processing is low in water and energy.",HAX230901,"Biomr is based in London, United Kingdom. Description: We make water-proof and oil-proof coatings from renewable organic sources, free from forever chemicals (PFAS) and free from synthetic plastics (polyurethanes).

We upcycle agricultural waste to valuable textile finishes. Our processing is low in water and energy."
Vandrax,vandrax.com,Operating,HAX,New York City,United States,"Vandrax Technologies is pioneering the use of cloud robotics and mass production efficiencies to create homes, office buildings, multi-family housing and infrastructure in a safer, faster, and more sustainable way. Our proprietary technology combines BIM, standardization, and cloud robotics to speed up the entire construction process. Our mission is to break the supply / demand imbalance in housing by making construction faster and less expensive.",HAX230802,"Vandrax is based in New York City, United States. Description: Vandrax Technologies is pioneering the use of cloud robotics and mass production efficiencies to create homes, office buildings, multi-family housing and infrastructure in a safer, faster, and more sustainable way. Our proprietary technology combines BIM, standardization, and cloud robotics to speed up the entire construction process. Our mission is to break the supply / demand imbalance in housing by making construction faster and less expensive."
mediQ,mediq.com.pk,Operating,Orbit Startups,,,"medIQ is Pakistan’s First Digitally Integrated Hybrid Healthcare Platform committed to making quality healthcare more accessible, affordable, and convenient for everyone. medIQ emphasizes providing a seamless digital solution for all health and wellness needs with its cashless OPD services that can be availed digitally or physically. The digital OPD and cashless features enhance access to healthcare in a system that requires upfront financing. Additionally, through an AI-based claims verification process, medIQ efficiently manages all OPD funds and claims, thus revolutionizing healthcare services and offering the best health tech solutions.",ORB2314,"mediQ is based in , . Description: medIQ is Pakistan’s First Digitally Integrated Hybrid Healthcare Platform committed to making quality healthcare more accessible, affordable, and convenient for everyone. medIQ emphasizes providing a seamless digital solution for all health and wellness needs with its cashless OPD services that can be availed digitally or physically. The digital OPD and cashless features enhance access to healthcare in a system that requires upfront financing. Additionally, through an AI-based claims verification process, medIQ efficiently manages all OPD funds and claims, thus revolutionizing healthcare services and offering the best health tech solutions."
TrelliSense,trellisense.com,Operating,HAX,Boulder,United States,"Methane, with a warming potential 85 times greater than CO2, presents a critical challenge in global warming mitigation efforts. Currently, many facilities handling methane lack comprehensive monitoring systems for detecting unintended emissions within their operations. This oversight is becoming increasingly untenable due to evolving regulations, enhanced third-party and public scrutiny, and escalating reporting demands across methane-intensive sectors. Present solutions are either constrained to intermittent data collection methods, such as drone-mounted sensors or satellite imagery, or are burdened by high costs and operational limitations, as seen with contact-based air sampling sensors which suffer from limited scope and reliability issues. Addressing this critical need, TrelliSense introduces the industry’s first solution for continuous, ground-based, and long-range methane monitoring. These sensors enable near-real-time detection, precise localization, and accurate quantification of methane leaks across various industries including oil & gas, utilities, landfills, and agriculture. Importantly, TrelliSense achieves this at a significantly reduced cost compared to existing, more limited technologies, marking a major advancement in efforts to curtail methane emissions effectively.",HAX230801,"TrelliSense is based in Boulder, United States. Description: Methane, with a warming potential 85 times greater than CO2, presents a critical challenge in global warming mitigation efforts. Currently, many facilities handling methane lack comprehensive monitoring systems for detecting unintended emissions within their operations. This oversight is becoming increasingly untenable due to evolving regulations, enhanced third-party and public scrutiny, and escalating reporting demands across methane-intensive sectors. Present solutions are either constrained to intermittent data collection methods, such as drone-mounted sensors or satellite imagery, or are burdened by high costs and operational limitations, as seen with contact-based air sampling sensors which suffer from limited scope and reliability issues. Addressing this critical need, TrelliSense introduces the industry’s first solution for continuous, ground-based, and long-range methane monitoring. These sensors enable near-real-time detection, precise localization, and accurate quantification of methane leaks across various industries including oil & gas, utilities, landfills, and agriculture. Importantly, TrelliSense achieves this at a significantly reduced cost compared to existing, more limited technologies, marking a major advancement in efforts to curtail methane emissions effectively."
Mitico,mitico.tech,Operating,HAX,Los Angeles,United States,"Many legacy industries present large challenges to decarbonize, and at the same time are needed to fulfill global energy demands in the short term. These include natural-gas and wood fired burners and gas-fired power plants. Existing carbon-capture media, such as amine-based sorbents, face challenges to effectively sequester carbon dioxide emitted from these heavy industrial uses. Mitico offers state-of-the-art services and equipment to capture carbon dioxide (CO2). Their patent-pending granulated metal carbonate sorption technology (GMC), developed at Caltech, captures over 95% of the CO2 emitted from post-combustion point sources (flue gases), including gas-fired power plants and boilers, and waste-to-energy and biomass-to-energy facilities. They enable carbon capture, utilization, and storage (CCUS) as a service at a low cost, reachig prices below $50/ton. The Mitico technology is based on using abundant, cost-effective, and low-impact GMC sorbents. The GMC solid can be rejuvenated through moderate temperature- and pressure-driven swing sorption-desorption cycles. The extracted and purified (99.9%) CO2 can be sequestered or used as a feedstock for green chemistry. The Mitico process is scalable, applicable to small (1K CO2 tonne/year) natural-gas and wood fired burners all the way to large (>100K CO2 tonne /year) gas-fired power plants and hard-to-decarbonize industries.",HAX230701,"Mitico is based in Los Angeles, United States. Description: Many legacy industries present large challenges to decarbonize, and at the same time are needed to fulfill global energy demands in the short term. These include natural-gas and wood fired burners and gas-fired power plants. Existing carbon-capture media, such as amine-based sorbents, face challenges to effectively sequester carbon dioxide emitted from these heavy industrial uses. Mitico offers state-of-the-art services and equipment to capture carbon dioxide (CO2). Their patent-pending granulated metal carbonate sorption technology (GMC), developed at Caltech, captures over 95% of the CO2 emitted from post-combustion point sources (flue gases), including gas-fired power plants and boilers, and waste-to-energy and biomass-to-energy facilities. They enable carbon capture, utilization, and storage (CCUS) as a service at a low cost, reachig prices below $50/ton. The Mitico technology is based on using abundant, cost-effective, and low-impact GMC sorbents. The GMC solid can be rejuvenated through moderate temperature- and pressure-driven swing sorption-desorption cycles. The extracted and purified (99.9%) CO2 can be sequestered or used as a feedstock for green chemistry. The Mitico process is scalable, applicable to small (1K CO2 tonne/year) natural-gas and wood fired burners all the way to large (>100K CO2 tonne /year) gas-fired power plants and hard-to-decarbonize industries."
Algoma,algoma.co,Operating,HAX,New York City,United States,"In the face of a significant housing shortage and sustainability crisis, the real estate development sector struggles with inefficiency and escalating costs. Conventional construction materials significantly contribute to embodied carbon, with the built environment responsible for 40% of global greenhouse gas emissions. Traditional design approaches often lead to bespoke, one-off projects with little incentive for efficiency due to time-based contracts. Hence, there is a huge opportunity for a housing solution that is repeatable, sustainable and scalable.Algoma is a digital architect and engineer that provides real estate developers with a faster, cost-effective, and sustainable approach to housing. Leveraging mass timber and a library of standardized building components, Algoma’s innovative software platform automates the design phase and offers:Automated feasibility studies, allowing developers to understand what’s possible on site, providing them with accurate cost estimates very early on.Integrated architectural and engineering designs, allowing real estate developers to move from concept design to construction documentation faster and at lower cost.Connection to contractors and suppliers, allowing developers to efficiently find partners to deliver the project.",HAX230402,"Algoma is based in New York City, United States. Description: In the face of a significant housing shortage and sustainability crisis, the real estate development sector struggles with inefficiency and escalating costs. Conventional construction materials significantly contribute to embodied carbon, with the built environment responsible for 40% of global greenhouse gas emissions. Traditional design approaches often lead to bespoke, one-off projects with little incentive for efficiency due to time-based contracts. Hence, there is a huge opportunity for a housing solution that is repeatable, sustainable and scalable.Algoma is a digital architect and engineer that provides real estate developers with a faster, cost-effective, and sustainable approach to housing. Leveraging mass timber and a library of standardized building components, Algoma’s innovative software platform automates the design phase and offers:Automated feasibility studies, allowing developers to understand what’s possible on site, providing them with accurate cost estimates very early on.Integrated architectural and engineering designs, allowing real estate developers to move from concept design to construction documentation faster and at lower cost.Connection to contractors and suppliers, allowing developers to efficiently find partners to deliver the project."
Companions Technologies Inc.,umrahcompanions.com,Operating,Orbit Startups,Mecca,Saudi Arabia,A Destination Management Company and Online Travel Agency focused on Exploring Saudi Arabia that serves Global B2B and B2C segments of the market to create lasting pilgrimage experience.,ORB2313,"Companions Technologies Inc. is based in Mecca, Saudi Arabia. Description: A Destination Management Company and Online Travel Agency focused on Exploring Saudi Arabia that serves Global B2B and B2C segments of the market to create lasting pilgrimage experience."
Scalex,scalex.africa,Operating,Orbit Startups,,,"Decentralized platform that offer users a simple and seamless way to buy, sell and remit cryptocurrencies in Africa",ORB2311,"Scalex is based in , . Description: Decentralized platform that offer users a simple and seamless way to buy, sell and remit cryptocurrencies in Africa"
Truckistan Technologies,truckistan.pk,Operating,Orbit Startups,Karachi,Pakistan,"Truckistan Technologies is tech enabled less than truckload (LTL) player offering customers faster, safer and a reduced carbon footprint service. In addition, we offer SAAS tools in the area of routing, vehicle loading and implementation of RFID throughout the supply chain.",ORB2312,"Truckistan Technologies is based in Karachi, Pakistan. Description: Truckistan Technologies is tech enabled less than truckload (LTL) player offering customers faster, safer and a reduced carbon footprint service. In addition, we offer SAAS tools in the area of routing, vehicle loading and implementation of RFID throughout the supply chain."
Transition Biomining,transition.bio,Operating,IndieBio,San Francisco,United States,"Delivering data-driven, biological solutions to accelerate copper extraction in new and existing heap leaching operations, with initial focus on copper.",IBSF152301,"Transition Biomining is based in San Francisco, United States. Description: Delivering data-driven, biological solutions to accelerate copper extraction in new and existing heap leaching operations, with initial focus on copper."
Happioh Inc,happioh.com,Operating,Orbit Startups,,,"Unlock VIP Access to Happioh and Gain a First-Mover Advantage in Boosting Productivity and Reducing Low-Quality Meeting Invites for Your Employees. 

Forward-thinking companies understand the importance of empowering their employees to prioritize their time effectively while shielding them from the burden of irrelevant or unproductive meetings. 

That's where Happioh steps in as a revolutionary solution for enterprises. By leveraging cutting-edge technology, Happioh ensures that your employees only participate in meetings that directly impact their work and contribute to their success. 

By reducing the influx of low-quality meeting invitations, you can significantly enhance productivity and drive impactful outcomes across your organization. 

Don't miss out on this opportunity to be at the forefront of the corporate meeting revolution. Gain VIP access to Happioh today and secure your first-mover advantage in transforming the way your company handles meetings. 

Empower your employees, prioritize their time, and revolutionize your meetings with Happioh. 

We are getting attention: Nominee for the WEF Technology Pioneer Award in 2023, 10 Top Time Management Startups and Companies in California, 49 Most Innovative Cyber Security Startups & Companies, and 101 California, United States Based Compliance Companies: The Most Innovative Compliance Companies.",ORB2310,"Happioh Inc is based in , . Description: Unlock VIP Access to Happioh and Gain a First-Mover Advantage in Boosting Productivity and Reducing Low-Quality Meeting Invites for Your Employees. 

Forward-thinking companies understand the importance of empowering their employees to prioritize their time effectively while shielding them from the burden of irrelevant or unproductive meetings. 

That's where Happioh steps in as a revolutionary solution for enterprises. By leveraging cutting-edge technology, Happioh ensures that your employees only participate in meetings that directly impact their work and contribute to their success. 

By reducing the influx of low-quality meeting invitations, you can significantly enhance productivity and drive impactful outcomes across your organization. 

Don't miss out on this opportunity to be at the forefront of the corporate meeting revolution. Gain VIP access to Happioh today and secure your first-mover advantage in transforming the way your company handles meetings. 

Empower your employees, prioritize their time, and revolutionize your meetings with Happioh. 

We are getting attention: Nominee for the WEF Technology Pioneer Award in 2023, 10 Top Time Management Startups and Companies in California, 49 Most Innovative Cyber Security Startups & Companies, and 101 California, United States Based Compliance Companies: The Most Innovative Compliance Companies."
